iter	Accuracy	Logloss
0	1	0.510722245
1	1	0.3901872663
2	1	0.2783514881
3	1	0.2071486837
4	1	0.1477865051
5	1	0.1101200391
6	1	0.07794422667
7	1	0.05670334603
8	1	0.04103306211
9	1	0.03021268658
10	1	0.02337739174
11	1	0.0185945458
12	1	0.01434417265
13	1	0.01136858734
14	1	0.0093415013
15	1	0.007456482465
16	1	0.006101476034
17	1	0.004988829296
18	1	0.004100921405
19	1	0.003523797416
20	1	0.002919834837
21	1	0.00248700159
22	1	0.002124292993
23	1	0.001823623125
24	1	0.00162348613
25	1	0.001407144773
26	1	0.001228084861
27	1	0.001079665552
28	1	0.0009578103642
29	1	0.000868981219
30	1	0.0007816945671
31	1	0.0007081323009
32	1	0.0006415080112
33	1	0.0005821972041
34	1	0.0005308198919
35	1	0.000492375254
36	1	0.0004524912469
37	1	0.0004173535352
38	1	0.0003863446499
39	1	0.000362888475
40	1	0.0003412774426
41	1	0.000319315681
42	1	0.000299228146
43	1	0.0002809515919
44	1	0.0002666704035
45	1	0.0002568822577
46	1	0.0002459905461
47	1	0.0002333190937
48	1	0.0002221536815
49	1	0.0002152016663
50	1	0.0002051491493
51	1	0.0001958799584
52	1	0.0001887906993
53	1	0.00018391359
54	1	0.0001763804076
55	1	0.0001704055327
56	1	0.0001652957196
57	1	0.0001602868315
58	1	0.0001545503542
59	1	0.000148537604
60	1	0.0001429250114
61	1	0.000137685327
62	1	0.0001328599448
63	1	0.0001290996967
64	1	0.0001260195053
65	1	0.0001231784701
66	1	0.000120161447
67	1	0.0001164098383
68	1	0.0001127777512
69	1	0.0001093505781
70	1	0.0001061122741
71	1	0.000103168099
72	1	0.000100259809
73	1	9.750132308e-05
74	1	9.488716995e-05
75	1	9.488615107e-05
76	1	9.247398811e-05
77	1	9.246915742e-05
78	1	9.246432726e-05
79	1	9.246285662e-05
80	1	9.245895016e-05
81	1	9.245412113e-05
82	1	9.245291398e-05
83	1	9.244808562e-05
84	1	9.24432578e-05
85	1	9.243843052e-05
86	1	9.243624784e-05
87	1	9.24315701e-05
88	1	9.242964141e-05
89	1	9.242511059e-05
90	1	9.242398359e-05
91	1	9.241462892e-05
92	1	9.240512037e-05
93	1	9.240282768e-05
94	1	9.240114927e-05
95	1	9.239241707e-05
96	1	9.238894143e-05
97	1	9.238808266e-05
98	1	9.238126553e-05
99	1	9.238006039e-05
100	1	9.237885528e-05
101	1	9.237065226e-05
102	1	9.236976136e-05
103	1	9.236588575e-05
104	1	9.236468103e-05
105	1	9.235636357e-05
106	1	9.235468214e-05
107	1	9.060785031e-05
