iter	Passed	Remaining
0	253	126299
1	338	84231
2	415	68890
3	512	63518
4	562	55683
5	642	52898
6	705	49679
7	769	47324
8	817	44606
9	870	42661
10	969	43106
11	1068	43468
12	1110	41589
13	1171	40683
14	1235	39951
15	1296	39223
16	1361	38684
17	1416	37936
18	1458	36918
19	1535	36844
20	1573	35884
21	1635	35540
22	1722	35716
23	1789	35482
24	1854	35229
25	1914	34909
26	1953	34225
27	2006	33821
28	2058	33437
29	2112	33103
30	2179	32968
31	2242	32795
32	2296	32501
33	2332	31970
34	2370	31496
35	2419	31180
36	2484	31088
37	2520	30640
38	2576	30460
39	2641	30379
40	2695	30178
41	2748	29973
42	2794	29703
43	2828	29311
44	2877	29091
45	2934	28962
46	3015	29062
47	3086	29064
48	3153	29025
49	3240	29167
50	3311	29151
51	3398	29282
52	3458	29165
53	3524	29111
54	3580	28968
55	3637	28842
56	3707	28814
57	3802	28980
58	3971	29686
59	4245	31136
60	4377	31502
61	4498	31778
62	4781	33167
63	4897	33364
64	4992	33409
65	5050	33209
66	5113	33044
67	5215	33136
68	5300	33111
69	5352	32881
70	5404	32655
71	5459	32453
72	5497	32156
73	5532	31848
74	5581	31630
75	5615	31327
76	5667	31136
77	5697	30825
78	5726	30517
79	5768	30282
80	5810	30056
81	5842	29781
82	5871	29498
83	5898	29212
84	5929	28949
85	5959	28690
86	5995	28459
87	6049	28324
88	6116	28247
89	6162	28071
90	6200	27866
91	6241	27681
92	6277	27471
93	6325	27319
94	6376	27184
95	6416	27002
96	6481	26927
97	6615	27137
98	6725	27241
99	6766	27065
100	6799	26861
101	6852	26738
102	6899	26593
103	6941	26430
104	6970	26222
105	7017	26082
106	7068	25960
107	7125	25864
108	7171	25725
109	7220	25599
110	7263	25454
111	7296	25277
112	7353	25182
113	7404	25073
114	7527	25199
115	7603	25171
116	7706	25227
117	7806	25270
118	7860	25168
119	7906	25037
120	7957	24923
121	8006	24808
122	8068	24731
123	8101	24567
124	8149	24448
125	8197	24331
126	8288	24344
127	8425	24485
128	8603	24743
129	8706	24779
130	8760	24675
131	8804	24544
132	8850	24422
133	8880	24256
134	8936	24161
135	9022	24148
136	9087	24079
137	9139	23973
138	9258	24045
139	9322	23971
140	9367	23850
141	9399	23698
142	9469	23641
143	9605	23747
144	9649	23625
145	9689	23494
146	9733	23374
147	9825	23368
148	9942	23420
149	10037	23421
150	10105	23355
151	10138	23212
152	10199	23132
153	10291	23122
154	10332	22997
155	10374	22877
156	10447	22825
157	10519	22770
158	10583	22696
159	10839	23033
160	10917	22987
161	10970	22888
162	11020	22785
163	11072	22684
164	11164	22667
165	11274	22683
166	11370	22673
167	11457	22641
168	11549	22621
169	11604	22526
170	11733	22575
171	12101	23078
172	12215	23089
173	12338	23117
174	12446	23114
175	12534	23075
176	12666	23113
177	12752	23070
178	12806	22965
179	12837	22822
180	12881	22703
181	12925	22584
182	12992	22506
183	13074	22453
184	13124	22347
185	13166	22226
186	13214	22118
187	13262	22010
188	13293	21875
189	13365	21807
190	13426	21721
191	13522	21692
192	13571	21588
193	13612	21471
194	13648	21347
195	13688	21231
196	13737	21129
197	13785	21026
198	13847	20945
199	13904	20856
200	13967	20776
201	14069	20755
202	14146	20696
203	14302	20752
204	14370	20678
205	14412	20569
206	14451	20455
207	14494	20348
208	14534	20237
209	14574	20126
210	14630	20038
211	14713	19988
212	14795	19935
213	14863	19864
214	14936	19799
215	15032	19764
216	15234	19867
217	15302	19794
218	15338	19680
219	15376	19570
220	15434	19485
221	15513	19426
222	15678	19474
223	15794	19461
224	15952	19498
225	16016	19417
226	16075	19332
227	16208	19336
228	16258	19240
229	16384	19233
230	16521	19239
231	16669	19256
232	16743	19187
233	16792	19089
234	16847	18998
235	16901	18907
236	16966	18828
237	17014	18730
238	17056	18626
239	17103	18528
240	17145	18425
241	17224	18363
242	17328	18326
243	17382	18237
244	17431	18142
245	17501	18070
246	17558	17985
247	17609	17893
248	17657	17799
249	17721	17721
250	17787	17645
251	17842	17558
252	17909	17485
253	17984	17418
254	18072	17363
255	18198	17345
256	18254	17260
257	18310	17175
258	18377	17100
259	18415	16998
260	18456	16900
261	18499	16804
262	18541	16708
263	18581	16610
264	18618	16510
265	18657	16412
266	18698	16317
267	18737	16220
268	18775	16123
269	18855	16061
270	18950	16013
271	19019	15943
272	19068	15855
273	19116	15767
274	19164	15680
275	19206	15588
276	19250	15497
277	19325	15432
278	19367	15341
279	19406	15247
280	19445	15155
281	19482	15060
282	19521	14968
283	19560	14877
284	19601	14786
285	19640	14696
286	19677	14604
287	19718	14514
288	19763	14429
289	19802	14339
290	19842	14251
291	19880	14161
292	19916	14070
293	19957	13983
294	19995	13895
295	20034	13807
296	20072	13719
297	20110	13631
298	20148	13544
299	20186	13457
300	20223	13370
301	20262	13284
302	20299	13197
303	20344	13116
304	20382	13031
305	20420	12946
306	20466	12866
307	20514	12788
308	20550	12702
309	20589	12619
310	20626	12535
311	20664	12451
312	20701	12368
313	20738	12284
314	20777	12202
315	20814	12119
316	20852	12037
317	20890	11956
318	20926	11873
319	20963	11792
320	21003	11712
321	21041	11631
322	21077	11549
323	21114	11469
324	21152	11389
325	21191	11310
326	21227	11230
327	21264	11150
328	21303	11072
329	21348	10997
330	21385	10919
331	21423	10840
332	21468	10766
333	21515	10693
334	21559	10618
335	21600	10543
336	21638	10465
337	21676	10389
338	21713	10312
339	21751	10235
340	21789	10159
341	21827	10084
342	21866	10008
343	21903	9932
344	21942	9858
345	21982	9783
346	22019	9708
347	22057	9634
348	22095	9560
349	22134	9486
350	22172	9412
351	22211	9338
352	22250	9265
353	22288	9192
354	22332	9121
355	22374	9050
356	22414	8978
357	22454	8906
358	22499	8837
359	22552	8770
360	22598	8701
361	22639	8630
362	22681	8560
363	22721	8489
364	22762	8419
365	22802	8348
366	22843	8278
367	22884	8208
368	22922	8137
369	22963	8068
370	23002	7998
371	23050	7931
372	23094	7863
373	23137	7794
374	23182	7727
375	23221	7658
376	23259	7588
377	23299	7519
378	23341	7452
379	23379	7383
380	23417	7313
381	23454	7245
382	23491	7176
383	23529	7107
384	23565	7039
385	23602	6970
386	23641	6902
387	23677	6834
388	23718	6767
389	23757	6700
390	23794	6633
391	23832	6565
392	23867	6498
393	23904	6431
394	23941	6364
395	23979	6297
396	24093	6251
397	24154	6190
398	24196	6124
399	24234	6058
400	24271	5992
401	24313	5927
402	24356	5862
403	24397	5797
404	24438	5732
405	24476	5666
406	24526	5604
407	24565	5539
408	24601	5473
409	24639	5408
410	24674	5343
411	24712	5278
412	24750	5213
413	24852	5162
414	24891	5098
415	24929	5033
416	24969	4969
417	25006	4905
418	25042	4841
419	25080	4777
420	25117	4713
421	25155	4649
422	25191	4585
423	25227	4521
424	25267	4458
425	25307	4396
426	25351	4334
427	25392	4271
428	25428	4208
429	25468	4145
430	25510	4084
431	25555	4022
432	25591	3959
433	25631	3897
434	25670	3835
435	25707	3773
436	25743	3711
437	25784	3649
438	25820	3587
439	25859	3526
440	25897	3464
441	25934	3403
442	25971	3341
443	26012	3280
444	26049	3219
445	26088	3158
446	26126	3097
447	26163	3036
448	26202	2976
449	26241	2915
450	26278	2855
451	26321	2795
452	26364	2735
453	26404	2675
454	26444	2615
455	26482	2555
456	26520	2495
457	26560	2435
458	26604	2376
459	26643	2316
460	26678	2257
461	26715	2197
462	26756	2138
463	26795	2078
464	26833	2019
465	26874	1960
466	26912	1901
467	26955	1843
468	26993	1784
469	27030	1725
470	27067	1666
471	27107	1608
472	27146	1549
473	27188	1491
474	27225	1432
475	27263	1374
476	27307	1316
477	27347	1258
478	27386	1200
479	27423	1142
480	27458	1084
481	27495	1026
482	27536	969
483	27580	911
484	27622	854
485	27663	796
486	27705	739
487	27744	682
488	27784	625
489	27823	567
490	27860	510
491	27899	453
492	27937	396
493	27976	339
494	28016	282
495	28055	226
496	28091	169
497	28134	112
498	28170	56
499	28207	0
