department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met_more_than_80,awards_won,avg_training_score,training_category,promotion_score,is_promoted
Technology,region_26,Bachelors,m,sourcing,1,24,3.0,1,1,0,77,Basic,5.0,0
HR,region_4,Bachelors,f,other,1,31,3.0,5,0,0,51,Basic,1.5,0
Sales & Marketing,region_13,Bachelors,m,other,1,31,1.0,4,0,0,47,Basic,0.0,0
Procurement,region_2,Bachelors,f,other,3,31,2.0,9,0,0,65,Intermediate,2.0,0
Finance,region_29,Bachelors,m,sourcing,1,30,4.0,7,0,0,61,Basic,2.5,0
Procurement,region_7,Bachelors,m,sourcing,1,36,3.0,2,0,0,68,Basic,2.0,0
Finance,region_2,Bachelors,m,other,1,33,5.0,3,1,0,57,Basic,5.0,0
Analytics,region_22,Bachelors,m,sourcing,2,36,3.0,3,0,0,85,Intermediate,3.5,0
Technology,region_7,Masters & above,m,other,1,51,4.0,11,0,0,75,Basic,3.5,0
Technology,region_22,Bachelors,m,sourcing,1,29,5.0,2,1,0,76,Basic,6.0,0
Sales & Marketing,region_16,Bachelors,m,sourcing,2,40,5.0,12,1,0,50,Intermediate,6.0,0
Sales & Marketing,region_17,Masters & above,m,sourcing,1,40,3.0,10,0,0,46,Basic,1.5,0
Sales & Marketing,region_4,Masters & above,f,other,1,34,3.0,4,0,0,52,Basic,1.0,0
Analytics,region_24,Bachelors,m,other,1,37,3.0,10,0,0,82,Basic,3.5,0
Operations,region_11,Bachelors,m,sourcing,1,30,5.0,6,1,0,58,Basic,5.5,0
Sales & Marketing,region_7,Bachelors,m,sourcing,1,31,4.0,4,1,0,47,Basic,5.0,0
Operations,region_27,Bachelors,f,sourcing,1,26,5.0,3,0,0,56,Basic,2.0,0
Sales & Marketing,region_17,Bachelors,m,sourcing,1,40,5.0,6,1,0,50,Basic,5.5,0
Procurement,region_7,Bachelors,f,other,1,49,3.0,7,1,0,64,Basic,5.5,0
Procurement,region_27,Bachelors,m,other,1,27,2.0,5,0,0,65,Basic,1.5,0
Sales & Marketing,region_9,Masters & above,m,sourcing,1,37,5.0,3,0,0,47,Basic,2.0,0
Technology,region_17,Bachelors,m,sourcing,1,25,3.0,1,0,0,80,Basic,3.0,0
Technology,region_29,Masters & above,m,sourcing,1,30,1.0,3,0,0,83,Basic,2.0,0
Procurement,region_4,Masters & above,m,other,1,41,3.0,4,0,0,76,Basic,2.0,0
Finance,region_20,Bachelors,f,other,1,29,4.0,6,1,0,58,Basic,5.5,0
Operations,region_20,Bachelors,m,other,1,33,3.0,7,1,1,62,Basic,7.5,1
Sales & Marketing,region_17,Masters & above,m,sourcing,1,34,4.0,6,1,0,50,Basic,5.5,0
Analytics,region_13,Bachelors,m,sourcing,1,34,3.0,3,1,0,87,Basic,6.0,0
Operations,region_22,Bachelors,m,other,1,52,1.0,10,0,0,61,Basic,0.5,0
Sales & Marketing,region_34,Bachelors,m,sourcing,1,30,2.0,3,0,0,50,Basic,0.0,0
Analytics,region_2,Masters & above,m,sourcing,2,34,4.0,7,0,0,87,Intermediate,5.0,0
Sales & Marketing,region_2,Bachelors,m,sourcing,2,43,1.0,14,0,0,52,Intermediate,1.0,0
Technology,region_17,Bachelors,m,other,1,29,3.0,1,1,0,85,Basic,6.0,0
Sales & Marketing,region_2,Bachelors,f,sourcing,1,35,3.0,3,1,0,52,Basic,4.0,0
Technology,region_22,Masters & above,m,other,4,40,3.0,12,0,0,77,Advanced,3.0,0
Technology,region_23,Bachelors,m,sourcing,2,33,4.0,9,0,0,83,Intermediate,5.0,0
Sales & Marketing,region_8,Masters & above,m,other,1,30,3.0,2,1,0,55,Basic,4.0,0
Sales & Marketing,region_14,Bachelors,f,sourcing,2,42,1.0,3,1,0,46,Intermediate,3.5,0
Sales & Marketing,region_22,Bachelors,m,sourcing,3,29,1.0,3,0,0,51,Intermediate,0.5,0
Analytics,region_22,Bachelors,m,other,1,25,3.0,1,0,0,88,Basic,3.0,0
Analytics,region_26,Bachelors,m,sourcing,1,26,5.0,4,1,0,90,Basic,7.0,1
Sales & Marketing,region_31,Bachelors,m,other,1,27,2.0,3,0,0,52,Basic,0.0,0
Operations,region_13,Bachelors,m,other,1,34,5.0,5,1,0,66,Basic,6.5,0
Sales & Marketing,region_31,Bachelors,m,sourcing,1,26,4.0,5,0,0,45,Basic,2.5,0
Technology,region_2,Bachelors,f,other,1,52,5.0,18,0,0,80,Basic,4.5,0
Sales & Marketing,region_7,Bachelors,m,other,1,26,5.0,2,1,0,54,Basic,5.0,0
Analytics,region_34,Bachelors,m,sourcing,3,27,3.0,2,0,0,83,Intermediate,3.5,0
Analytics,region_22,Masters & above,m,other,1,31,3.0,1,1,0,84,Basic,6.0,0
Operations,region_23,Bachelors,m,other,1,33,4.0,8,1,0,59,Basic,5.5,0
Sales & Marketing,region_2,Bachelors,m,sourcing,1,36,5.0,4,1,0,49,Basic,5.0,0
Technology,region_2,Masters & above,f,other,1,57,1.0,26,0,0,76,Basic,1.5,0
Sales & Marketing,region_2,Bachelors,m,other,2,46,1.0,7,0,0,49,Intermediate,1.0,0
Sales & Marketing,region_19,Bachelors,m,sourcing,1,30,2.0,3,0,0,50,Basic,0.0,0
Operations,region_2,Below Secondary,m,other,1,21,3.0,1,1,0,56,Basic,4.0,0
Technology,region_4,Bachelors,m,sourcing,1,26,3.0,1,1,0,85,Basic,6.0,0
Technology,region_7,Masters & above,m,sourcing,2,40,3.0,6,0,0,81,Intermediate,4.0,0
Technology,region_23,Bachelors,m,other,2,32,3.0,6,0,0,79,Intermediate,3.0,0
Finance,region_22,Masters & above,f,sourcing,1,36,3.0,2,1,0,61,Basic,4.0,0
Legal,region_2,Bachelors,m,other,1,28,2.0,2,0,0,62,Basic,0.0,0
Operations,region_22,Bachelors,f,sourcing,1,29,5.0,4,1,0,56,Basic,5.0,0
Sales & Marketing,region_2,Masters & above,m,sourcing,1,38,4.0,4,0,0,49,Basic,2.0,0
Technology,region_4,Bachelors,m,other,1,31,2.0,4,1,0,78,Basic,4.0,0
Sales & Marketing,region_22,Bachelors,m,other,1,29,1.0,4,0,0,46,Basic,0.0,0
Technology,region_5,Below Secondary,m,other,1,23,3.0,1,0,0,81,Basic,3.0,0
Operations,region_26,Bachelors,m,sourcing,1,41,4.0,6,1,0,60,Basic,5.5,0
Procurement,region_2,Bachelors,m,other,1,29,5.0,2,1,0,74,Basic,6.0,0
Sales & Marketing,region_28,Bachelors,f,other,1,29,2.0,5,0,0,51,Basic,0.5,0
Operations,region_2,Bachelors,m,sourcing,1,28,3.0,3,0,0,59,Basic,1.0,0
Analytics,region_29,Bachelors,m,other,2,28,5.0,4,1,0,84,Intermediate,7.5,1
Procurement,region_22,Bachelors,f,sourcing,1,31,1.0,6,0,0,64,Basic,1.5,0
Technology,region_4,Masters & above,m,sourcing,1,36,3.0,4,0,0,76,Basic,2.0,0
Operations,region_2,Bachelors,m,other,3,26,3.0,4,1,0,57,Intermediate,4.5,0
Technology,region_15,Bachelors,m,other,1,29,3.0,2,0,0,84,Basic,3.0,0
Analytics,region_7,Bachelors,m,sourcing,1,32,4.0,6,0,0,85,Basic,4.5,0
Sales & Marketing,region_2,Bachelors,f,other,1,40,1.0,10,0,0,50,Basic,0.5,0
Analytics,region_22,Bachelors,m,sourcing,2,38,4.0,13,0,0,87,Intermediate,5.0,0
Analytics,region_4,Bachelors,m,other,1,42,5.0,11,1,0,80,Basic,7.5,1
Procurement,region_29,Masters & above,f,other,1,33,3.0,6,0,0,68,Basic,2.5,0
Analytics,region_2,Bachelors,m,other,1,31,5.0,5,1,0,92,Basic,7.5,1
Operations,region_3,Masters & above,f,sourcing,1,35,3.0,4,0,0,58,Basic,1.0,0
HR,region_2,Masters & above,f,sourcing,1,58,5.0,6,1,0,51,Basic,5.5,0
